depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Dec_Querc,Mar_Querc,Ever_Querc,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Sanguisorba,Tamarix,Thymelaeaceae,Ephedra distachya,Ephedra fragilis,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,,Poaceae,Lygeum spartum,Artemisia,Cichorioideae,Asteroideae,Cardueae,Rubiaceae,Centaurea,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Ribes,Potentilla,Boraginaceae,Sedum,Helianthemum,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Lycium,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerianaceae,Cerealia,Polygonaceae,Pinguicula,Droseraceae,Cannabis,Cyperaceae,Epilobium,Aristolochia,Ranunculus,Thalictrum,Lythrum,Juncus,Utricularia,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophyllum,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete ornametnada,Monolete indeterminada,Botrychium,Osmunda,Pteris,Selaginella,Trilete ornamentada,Trilete indeterminada,Chaetomium,Podospora,Sordaria,Sporormiella
870,8455.91,1.7,0.23,3.7,24200,16,0,130,5,1,47,9,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,2,2,2,1,1,0,1,1,0,3,0,1,19,18,0,2,0,0,0,0,0,0,0,0,12,5,0,0,0,0,4,1,0,0,1,0,0,0,0,0,3,0,1,0,4,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
880,8500.03,1.7,0.23,4.1,24200,93,0,116,9,0,27,13,0,0,1,0,0,0,0,0,0,0,0,10,18,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28,0,4,1,1,0,0,0,3,2,0,5,0,0,26,11,0,1,0,0,0,0,0,0,1,0,14,5,0,0,0,0,5,3,0,0,2,0,0,0,0,0,5,0,0,0,7,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,8544.16,2,0.23,4.4,24200,113,0,143,8,0,28,10,0,0,2,0,0,1,0,0,0,0,0,12,16,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,0,1,0,0,1,0,0,17,2,0,0,2,0,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,8588.28,1.8,0.23,4.4,24200,110,0,122,12,0,38,14,0,0,0,0,0,0,0,0,0,0,0,10,14,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27,0,3,4,1,0,0,0,3,1,0,5,0,0,9,3,1,0,3,0,0,0,0,0,0,0,8,6,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,7,0,7,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,8632.4,1.9,0.23,4.9,24200,89,0,115,8,0,48,10,0,0,1,0,0,0,0,0,0,0,0,20,20,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,4,3,3,0,0,1,2,0,0,4,0,1,8,3,0,0,2,0,0,0,0,0,1,0,9,4,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,0,0,0,5,0,6,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,8676.52,1.5,0.23,3.6,24200,194,0,142,9,0,37,9,0,0,4,0,0,0,0,0,0,0,0,20,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,4,3,3,0,0,0,2,1,0,3,0,0,13,15,0,1,2,0,0,0,0,0,0,1,11,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,7,0,2,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
930,8720.64,1.7,0.23,4.4,24200,337,0,292,5,0,21,4,0,0,1,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,1,3,2,0,0,1,2,2,0,3,0,0,7,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
940,8764.76,1.6,0.23,4,24200,211,0,162,3,1,35,9,0,0,4,1,0,1,0,0,0,0,0,4,6,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,1,1,1,0,0,0,0,1,0,4,0,1,5,4,1,2,0,0,0,0,0,0,0,0,10,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,9,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
950,8782.01,1.6,0.19,4.1,24200,199,0,163,7,0,27,13,0,0,1,1,1,1,0,0,0,0,0,1,17,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,21,0,4,1,2,0,0,0,1,0,0,2,0,0,5,8,0,1,1,0,0,0,0,0,0,0,14,4,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,8787.75,1.5,0.19,3.2,24200,217,0,134,4,0,43,14,0,0,4,2,0,0,0,0,0,0,0,12,17,17,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,5,0,0,0,1,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,0,0,3,0,6,0,0,0,2,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,8796.35,1.6,0.19,4.3,24200,98,0,149,9,0,52,12,0,0,5,2,0,0,0,0,0,0,0,16,20,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,0,4,2,0,0,0,0,1,0,0,1,0,0,7,6,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,8802.09,1.8,0.19,5.1,24200,84,0,157,11,0,36,7,0,0,2,1,0,0,0,0,0,0,0,3,8,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,2,1,2,0,1,0,3,0,0,1,0,0,7,4,1,1,2,0,0,0,0,0,0,0,7,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
995,8807.82,1.7,0.19,3.5,24200,168,0,163,11,0,38,15,0,0,1,2,0,0,0,0,0,1,0,16,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,7,0,0,0,0,0,5,0,0,2,0,0,6,2,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,5,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,8813.56,1.8,0.19,4.5,24200,204,0,192,22,0,17,5,0,0,3,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21,0,2,0,1,0,0,0,1,1,0,1,0,0,7,2,0,1,1,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1010,8816.43,1.7,0.19,4.3,24200,212,0,222,14,0,15,4,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,1,0,1,0,1,0,4,0,0,0,0,0,8,2,0,0,3,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,8842.07,1.8,0.16,4.4,24200,145,0,193,24,0,16,4,0,0,1,3,0,1,0,0,0,0,0,3,6,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,2,0,0,0,0,0,2,2,0,1,0,0,7,1,0,0,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,8904.76,1.9,0.16,3.6,24200,213,0,149,10,0,32,15,0,0,4,0,0,0,0,0,0,0,0,6,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,8,0,0,0,0,0,5,0,0,1,0,0,14,3,1,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1035,8967.44,1.9,0.16,4.8,24200,232,0,180,9,0,23,16,0,0,2,0,2,2,0,0,0,0,0,6,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,3,2,0,0,0,0,4,0,0,2,0,1,16,3,1,1,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1040,8998.78,1.7,0.16,4.2,24200,130,0,255,13,0,29,18,0,0,3,2,0,0,0,0,0,0,0,6,11,7,0,2,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,10,0,3,0,2,1,1,0,5,1,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
1050.5,9064.6,1.9,0.16,3.4,24200,170,0,150,8,0,26,21,0,0,4,1,0,0,0,0,0,0,0,3,15,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,5,0,1,0,1,0,2,1,0,1,0,1,8,4,1,1,1,0,0,0,0,0,0,0,3,7,0,0,0,1,1,3,1,0,1,0,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1060.5,9127.28,1.9,0.16,3.5,24200,25,0,149,12,0,63,4,0,0,0,0,4,0,0,0,0,1,0,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,8,1,0,0,0,0,1,0,0,0,0,0,14,3,4,0,2,0,0,0,0,4,0,0,5,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1065.5,9158.63,1.6,0.16,4.8,24200,35,0,152,10,0,39,20,0,0,1,1,0,0,0,0,0,0,0,6,18,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,14,0,9,3,2,0,0,0,2,0,0,2,0,0,15,3,4,2,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,1,1,0,0,0,1,0,0,1,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1070.5,9189.97,1.7,0.16,3.7,24200,56,0,175,8,0,11,6,0,0,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,4,2,2,0,0,0,1,0,0,0,0,1,9,3,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1085.5,9283.99,1.6,0.16,3.9,24200,89,0,115,6,0,44,12,0,0,1,3,0,1,0,0,0,0,0,6,10,16,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,4,1,1,0,0,0,3,2,0,2,6,1,12,6,1,1,1,0,0,0,0,0,0,0,9,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1090.5,9315.34,1.7,0.16,4.6,24200,76,0,105,10,0,49,10,0,0,0,4,0,1,0,0,0,0,0,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,2,4,0,0,0,5,0,0,3,1,0,15,2,1,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,6,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1100.5,9378.02,1.8,0.16,3.5,24200,30,0,63,10,0,50,16,0,0,1,4,0,0,0,0,0,0,0,6,20,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,1,1,0,0,0,5,3,0,6,1,1,14,1,2,3,1,0,0,0,0,0,0,0,13,6,2,0,0,0,2,7,1,0,0,0,0,0,0,0,2,0,1,0,8,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105.5,9409.36,1.6,0.16,3.9,24200,80,0,100,12,0,43,8,0,0,1,4,0,0,0,0,0,1,0,4,4,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,9,0,11,0,1,0,0,0,3,1,2,2,0,3,16,1,2,4,3,0,0,0,0,0,0,0,7,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,5,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
1115.5,9472.04,1.8,0.16,4.3,24200,32,0,79,3,0,54,12,0,0,2,1,0,0,1,0,0,0,0,2,14,16,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,27,0,5,0,2,0,0,0,5,0,0,2,0,3,15,4,0,4,4,0,0,0,0,0,0,0,17,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,10,0,0,0,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125.5,9534.73,1.8,0.16,4,24200,236,0,103,12,0,34,16,0,0,1,4,0,0,0,0,0,2,0,3,13,19,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,3,0,0,0,9,0,5,4,0,0,0,0,1,0,0,1,0,0,16,3,0,0,4,0,0,0,0,0,0,0,18,7,0,0,0,0,2,2,1,0,0,0,0,0,0,0,4,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135.5,9597.41,1.8,0.16,4.4,24200,77,0,110,19,0,38,13,0,0,4,3,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,5,0,1,0,0,0,20,0,7,0,2,0,0,0,2,5,0,1,0,0,14,10,1,0,1,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1140.5,9628.75,1.8,0.16,3.4,24200,16,0,130,13,0,56,20,0,0,3,2,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,5,0,1,0,0,0,2,5,0,0,0,2,9,2,4,0,1,0,0,0,0,0,0,0,2,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1145.5,9660.1,1.7,0.16,3.7,24200,170,0,173,11,0,30,3,0,0,1,3,1,0,0,0,0,0,0,3,6,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,3,2,2,0,0,1,4,1,0,2,1,1,23,1,1,1,0,0,0,0,0,0,0,1,10,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.5,9691.44,1.7,0.16,3.8,24200,300,0,194,20,1,11,3,0,0,0,1,0,0,0,0,0,0,0,1,13,11,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,14,0,5,1,0,0,0,0,1,4,0,0,0,1,12,6,0,0,1,0,0,0,0,1,0,0,12,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0
1155.5,9722.78,1.7,0.16,4,24200,139,0,161,10,0,22,6,0,0,0,1,0,0,0,0,0,0,0,3,6,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,18,0,7,0,1,0,0,0,3,0,0,5,0,1,11,3,1,2,1,0,0,0,0,0,0,0,6,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,1,0,0,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1160.5,9754.12,1.7,0.16,4.2,24200,150,0,130,14,0,32,9,0,0,0,3,0,0,0,0,0,0,0,3,13,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,10,0,2,0,0,0,3,6,0,0,0,4,19,8,1,0,2,0,0,0,0,1,0,0,17,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,4,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
1165.5,9785.46,1.7,0.16,3.3,24200,191,0,129,15,0,31,15,0,0,2,1,0,0,0,0,0,0,0,9,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,21,0,7,0,0,0,0,0,3,4,0,0,0,0,10,1,1,0,5,0,0,0,1,0,0,0,10,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167.5,9798,1.7,0.01,5.7,24200,1,0,71,4,0,66,15,0,0,0,2,0,0,0,0,0,0,0,4,8,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,20,1,0,0,1,0,3,5,0,2,0,2,30,15,0,2,6,0,0,0,3,1,0,0,9,6,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
